***********************************************************
******Simulation Results Single Damper System**************

Time	Disp	Vel	Acc	Force
0.63400000	-47.21884981	-0.09079983	0.59036294	-81.68966645
0.63600000	-47.03607347	-0.08961316	0.59627494	-82.47192884
0.63800000	-46.85565851	-0.08841487	0.60198488	-83.22656523
0.64000000	-46.67762858	-0.08720535	0.60749318	-83.95363704
0.64200000	-46.50200653	-0.08598503	0.61280027	-84.65321199
0.64400000	-46.32881438	-0.08475429	0.61790666	-85.32536403
0.64600000	-46.15807336	-0.08351353	0.62281288	-85.97017330
0.64800000	-45.98980391	-0.08226317	0.62751951	-86.58772601
0.65000000	-45.82402564	-0.08100359	0.63202720	-87.17811442
0.65200000	-45.66075738	-0.07973519	0.63633660	-87.74143669
0.65400000	-45.50001716	-0.07845837	0.64044844	-88.27779687
0.65600000	-45.34182223	-0.07717353	0.64436348	-88.78730478
0.65800000	-45.18618902	-0.07588105	0.64808252	-89.27007593
0.66000000	-45.03313320	-0.07458133	0.65160639	-89.72623149
0.66200000	-44.88266965	-0.07327475	0.65493600	-90.15589813
0.66400000	-44.73481246	-0.07196171	0.65807225	-90.55920800
0.66600000	-44.58957495	-0.07064259	0.66101612	-90.93629862
0.66800000	-44.44696966	-0.06931778	0.66376860	-91.28731281
0.67000000	-44.30700837	-0.06798765	0.66633075	-91.61239859
0.67200000	-44.16970210	-0.06665258	0.66870364	-91.91170913
0.67400000	-44.03506108	-0.06531296	0.67088839	-92.18540262
0.67600000	-43.90309482	-0.06396915	0.67288615	-92.43364221
0.67800000	-43.77381204	-0.06262154	0.67469812	-92.65659593
0.68000000	-43.64722075	-0.06127048	0.67632552	-92.85443659
0.68200000	-43.52332819	-0.05991636	0.67776961	-93.02734171
0.68400000	-43.40214088	-0.05855952	0.67903169	-93.17549341
0.68600000	-43.28366458	-0.05720035	0.68011309	-93.29907834
0.68800000	-43.16790434	-0.05583919	0.68101517	-93.39828760
0.69000000	-43.05486450	-0.05447641	0.68173933	-93.47331661
0.69200000	-42.94454866	-0.05311235	0.68228698	-93.52436510
0.69400000	-42.83695972	-0.05174738	0.68265960	-93.55163693
0.69600000	-42.73209987	-0.05038183	0.68285866	-93.55534006
0.69800000	-42.62997060	-0.04901606	0.68288569	-93.53568647
0.70000000	-42.53057271	-0.04765040	0.68274224	-93.49289201
0.70200000	-42.43390630	-0.04628520	0.68242987	-93.42717639
0.70400000	-42.33997081	-0.04492079	0.68195019	-93.33876301
0.70600000	-42.24876497	-0.04355751	0.68130484	-93.22787893
0.70800000	-42.16028689	-0.04219568	0.68049547	-93.09475477
0.71000000	-42.07453397	-0.04083564	0.67952376	-92.93962460
0.71200000	-41.99150298	-0.03947769	0.67839142	-92.76272586
0.71400000	-41.91119003	-0.03812218	0.67710019	-92.56429927
0.71600000	-41.83359059	-0.03676940	0.67565182	-92.34458876
0.71800000	-41.75869950	-0.03541967	0.67404809	-92.10384134
0.72000000	-41.68651096	-0.03407331	0.67229081	-91.84230705
0.72200000	-41.61701857	-0.03273061	0.67038180	-91.56023885
0.72400000	-41.55021529	-0.03139188	0.66832291	-91.25789253
0.72600000	-41.48609349	-0.03005742	0.66611600	-90.93552662
0.72800000	-41.42464492	-0.02872751	0.66376297	-90.59340233
0.73000000	-41.36586078	-0.02740246	0.66126571	-90.23178340
0.73200000	-41.30973164	-0.02608255	0.65862616	-89.85093608
0.73400000	-41.25624751	-0.02476805	0.65584625	-89.45112898
0.73600000	-41.20539784	-0.02345925	0.65292795	-89.03263305
0.73800000	-41.15717151	-0.02215643	0.64987323	-88.59572140
0.74000000	-41.11155685	-0.02085985	0.64668410	-88.14066932
0.74200000	-41.06854163	-0.01956978	0.64336255	-87.66775408
0.74400000	-41.02811311	-0.01828649	0.63991061	-87.17725495
0.74600000	-40.99025800	-0.01701022	0.63633033	-86.66945303
0.74800000	-40.95496248	-0.01574125	0.63262374	-86.14463120
0.75000000	-40.92221224	-0.01447981	0.62879293	-85.60307402
0.75200000	-40.89199246	-0.01322616	0.62483996	-85.04506768
0.75400000	-40.86428781	-0.01198053	0.62076692	-84.47089987
0.75600000	-40.83908247	-0.01074317	0.61657591	-83.88085969
0.75800000	-40.81636017	-0.00951431	0.61226905	-83.27523761
0.76000000	-40.79610413	-0.00829417	0.60784845	-82.65432536
0.76200000	-40.77829713	-0.00708299	0.60331624	-82.01841584
0.76400000	-40.76292148	-0.00588098	0.59867457	-81.36780304
0.76600000	-40.74995907	-0.00468836	0.59392557	-80.70278198
0.76800000	-40.73939132	-0.00350535	0.58907140	-80.02364857
0.77000000	-40.73119923	-0.00233214	0.58411422	-79.33069960
0.77200000	-40.72536339	-0.00116896	0.57905620	-78.62423261
0.77400000	-40.72186398	-0.00001598	0.57389951	-77.90454583
0.77600000	-40.72068076	0.00112658	0.56864632	-77.17193807
0.77800000	-40.72179311	0.00225854	0.56329882	-76.42670868
0.78000000	-40.72518001	0.00337971	0.55785919	-75.66915747
0.78200000	-40.73082007	0.00448992	0.55232962	-74.89958457
0.78400000	-40.73869155	0.00558897	0.54671230	-74.11829043
0.78600000	-40.74877231	0.00667671	0.54100942	-73.32557570
0.78800000	-40.76103989	0.00775295	0.53522318	-72.52174115
0.79000000	-40.77547148	0.00881755	0.52935577	-71.70708763
0.79200000	-40.79204394	0.00987032	0.52340940	-70.88191595
0.79400000	-40.81073379	0.01091113	0.51738625	-70.04652682
0.79600000	-40.83151726	0.01193982	0.51128852	-69.20122081
0.79800000	-40.85437024	0.01295624	0.50511840	-68.34629821
0.80000000	-40.87926836	0.01396025	0.49887809	-67.48205902
0.80200000	-40.90618692	0.01495171	0.49256977	-66.60880285
0.80400000	-40.93510098	0.01593048	0.48619564	-65.72682885
0.80600000	-40.96598529	0.01689645	0.47975787	-64.83643563
0.80800000	-40.99881437	0.01784947	0.47325865	-63.93792122
0.81000000	-41.03356245	0.01878944	0.46670015	-63.03158296
0.81200000	-41.07020355	0.01971623	0.46008455	-62.11771749
0.81400000	-41.10871143	0.02062974	0.45341400	-61.19662061
0.81600000	-41.14905963	0.02152986	0.44669066	-60.26858727
0.81800000	-41.19122147	0.02241647	0.43991670	-59.33391148
0.82000000	-41.23517006	0.02328949	0.43309424	-58.39288626
0.82200000	-41.28087830	0.02414882	0.42622545	-57.44580355
0.82400000	-41.32831889	0.02499436	0.41931243	-56.49295417
0.82600000	-41.37746438	0.02582604	0.41235733	-55.53462776
0.82800000	-41.42828710	0.02664376	0.40536225	-54.57111270
0.83000000	-41.48075924	0.02744746	0.39832929	-53.60269605
0.83200000	-41.53485281	0.02823706	0.39126056	-52.62966352
0.83400000	-41.59053969	0.02901248	0.38415813	-51.65229938
0.83600000	-41.64779160	0.02977367	0.37702408	-50.67088641
0.83800000	-41.70658013	0.03052056	0.36986048	-49.68570584
0.84000000	-41.76687674	0.03125309	0.36266939	-48.69703731
0.84200000	-41.82865279	0.03197122	0.35545283	-47.70515880
0.84400000	-41.89187951	0.03267489	0.34821284	-46.71034658
0.84600000	-41.95652804	0.03336406	0.34095143	-45.71287515
