m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	mm       (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)
200 m/s² Endwert	200 m/s² Endwert	200 m/s² Endwert	20 mm Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert
Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214
Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0
2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16
Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142
fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941
0,14029	0,98427	-1,06633	-0,56657	0,00544	0,02081	-0,60820	-0,01560	0,04405	-0,58092
0,16794	1,05516	-0,89440	-0,55201	-0,02756	0,02604	-0,54929	-0,00954	0,02507	-0,60825
0,03896	1,16799	-0,68393	-0,49154	-0,12162	0,02808	-0,33097	-0,12247	0,06121	-0,34125
0,16786	1,32503	-0,33964	-0,39778	0,08495	0,00153	-0,11479	0,09411	0,01801	-0,12853
0,12172	1,57206	0,19094	-0,28662	-0,03717	-0,03817	0,05929	-0,01276	-0,03091	-0,03507
0,07784	1,74823	0,53685	-0,16800	-0,01239	-0,01800	0,34222	0,02333	0,01923	0,36407
0,19802	1,94128	0,93740	-0,06621	0,12225	-0,06115	0,39810	0,15432	-0,05781	0,28736
0,07258	2,04068	1,18146	0,01342	-0,04817	-0,00957	0,53185	-0,01856	0,02020	0,52922
0,11596	2,11510	1,23984	0,05741	0,05613	-0,02425	0,52312	0,09347	0,00438	0,46050
0,19135	2,09143	1,25909	0,06316	0,07876	-0,01749	0,44651	0,11990	0,00049	0,40778
0,06005	2,01201	1,11060	0,03222	-0,06991	0,01545	0,33476	-0,06485	0,04272	0,31353
0,14229	1,92008	0,82237	-0,03064	0,08066	-0,01698	0,19330	0,11629	0,00389	0,14993
0,16047	1,75414	0,53466	-0,11435	0,01252	-0,02081	0,04513	0,04512	0,00280	0,04435
0,01648	1,63057	0,25107	-0,21078	-0,10328	-0,01966	-0,15373	-0,12157	-0,00049	-0,21439
0,17586	1,47630	-0,10057	-0,30319	0,07889	-0,00677	-0,22073	0,11048	0,01351	-0,19106
0,12599	1,37474	-0,27083	-0,38753	-0,06384	-0,01213	-0,37837	-0,05608	-0,00122	-0,43988
0,03831	1,27836	-0,49023	-0,44870	-0,07901	0,02387	-0,39241	-0,10236	0,05209	-0,39114
0,17526	1,21870	-0,60461	-0,48293	0,04753	0,00434	-0,41453	0,06743	0,01558	-0,42763
0,08362	1,21771	-0,56164	-0,48780	-0,09254	0,01430	-0,42831	-0,08728	0,02276	-0,49067
0,05518	1,22378	-0,61940	-0,45704	-0,04045	0,01238	-0,29203	-0,05608	0,05026	-0,26545
0,16112	1,30695	-0,40990	-0,40002	0,03211	-0,01774	-0,26649	0,05492	-0,01351	-0,34473
0,06674	1,41479	-0,17531	-0,31666	-0,07787	0,00562	-0,06688	-0,06369	0,03541	-0,06717
0,10844	1,58292	0,10401	-0,22088	0,05107	-0,01762	0,12288	0,06743	0,00876	0,09424
0,11294	1,80141	0,59943	-0,12679	0,02642	-0,03447	0,28457	0,05853	-0,02045	0,20498
0,05987	1,97096	0,97521	-0,04574	-0,01365	0,00153	0,50290	0,01547	0,03578	0,49260
0,18026	2,15690	1,36638	0,00227	0,10897	-0,03677	0,59771	0,15135	-0,02227	0,54056
0,13063	2,27596	1,65247	0,00693	-0,00038	-0,03779	0,65081	0,03532	-0,01022	0,58865
0,09419	2,29036	1,65784	-0,03841	0,02642	-0,02260	0,63260	0,05479	0,01217	0,60773
0,19737	2,22846	1,51938	-0,13715	0,11239	-0,03970	0,46952	0,16270	-0,03079	0,41512
0,05992	2,09253	1,22016	-0,28141	-0,07130	-0,02643	0,28558	-0,06498	0,00645	0,25694
0,11385	1,89036	0,76005	-0,45958	0,02276	-0,00766	0,06599	0,03674	0,02410	0,04461
0,21349	1,64104	0,31859	-0,65631	0,03982	-0,02055	-0,21137	0,07258	-0,01205	-0,22948
0,03911	1,40750	-0,18273	-0,85318	-0,14336	0,01174	-0,43501	-0,16515	0,04101	-0,45457
0,12229	1,20156	-0,66089	-1,03009	-0,01075	0,00230	-0,58494	-0,02192	0,02872	-0,59071
0,19719	1,02789	-0,96677	-1,17342	-0,00379	0,02234	-0,71250	0,02295	0,02945	-0,71899
0,00870	0,95391	-1,16247	-1,27105	-0,17446	0,00191	-0,74651	-0,21130	0,02872	-0,78435
0,11208	0,90878	-1,28086	-1,31234	0,00392	0,01060	-0,69291	-0,00284	0,03079	-0,69965
0,15401	0,92771	-1,17742	-1,29859	-0,03843	-0,00294	-0,64575	-0,02617	0,00110	-0,68715
0,02786	1,01294	-1,05701	-1,22915	-0,12806	0,01366	-0,48431	-0,14362	0,04332	-0,51156
0,14643	1,12151	-0,80471	-1,11090	0,04096	-0,01800	-0,31200	0,03893	-0,00073	-0,34486
0,12984	1,28958	-0,40471	-0,95584	-0,03148	0,01085	-0,12528	-0,00116	0,02312	-0,17482
0,05203	1,50594	-0,02714	-0,77590	-0,03894	-0,00409	0,15057	-0,03313	0,03408	0,12557
0,16789	1,73174	0,51052	-0,59058	0,09519	-0,00600	0,34930	0,12570	0,00779	0,29020
0,08714	1,98201	1,02898	-0,41655	-0,02895	-0,01966	0,56017	-0,00077	0,00621	0,49634
0,16258	2,15922	1,40370	-0,27037	0,08571	-0,01174	0,74234	0,13550	0,02446	0,72170
0,18982	2,29133	1,71607	-0,17037	0,08559	-0,06728	0,73854	0,12222	-0,05197	0,64641
0,06065	2,33216	1,75505	-0,12106	-0,01125	-0,01902	0,75523	0,02411	0,01655	0,73459
0,16036	2,31003	1,64742	-0,12934	0,12086	-0,05323	0,66181	0,17159	-0,02872	0,63287
0,12026	2,21497	1,48404	-0,19285	0,00417	-0,03664	0,44664	0,03455	-0,01619	0,37078
0,04122	2,00674	1,03352	-0,29733	-0,03552	-0,00396	0,25410	-0,03984	0,03432	0,25926
0,19706	1,79401	0,55721	-0,43286	0,10708	-0,00626	-0,01138	0,15522	0,00779	-0,03378
0,06896	1,56758	0,12607	-0,58087	-0,10000	-0,02196	-0,26447	-0,10210	0,00097	-0,30554
0,02500	1,32930	-0,41758	-0,71996	-0,05360	0,01877	-0,44373	-0,07774	0,04685	-0,43369
0,16799	1,14677	-0,82888	-0,83595	0,04147	-0,00677	-0,63412	0,06382	-0,00268	-0,66678
0,03802	0,98198	-1,11380	-0,91204	-0,14273	0,01596	-0,71604	-0,15264	0,03943	-0,71718
0,05878	0,90818	-1,29852	-0,93754	-0,05474	0,00089	-0,74398	-0,09978	0,01996	-0,77739
0,17669	0,88818	-1,29617	-0,90528	0,01479	0,02553	-0,65852	0,03881	0,03943	-0,65633
0,07060	0,97057	-1,06372	-0,81858	-0,11985	0,00587	-0,52818	-0,13292	0,02677	-0,57847
0,11578	1,12240	-0,78005	-0,68049	0,01580	0,01506	-0,28672	0,00168	0,03992	-0,29497
0,15313	1,33948	-0,30711	-0,50737	0,01289	-0,01838	-0,06296	0,03571	-0,00402	-0,11358
0,07464	1,58167	0,19424	-0,31333	-0,04576	-0,00855	0,16991	-0,02978	0,01412	0,10223
0,17279	1,75286	0,53732	-0,11348	0,11315	-0,02630	0,37648	0,13201	-0,00341	0,36626
0,09292	1,92849	0,89682	0,07174	-0,01188	-0,04660	0,43855	0,02282	-0,02848	0,33893
0,07159	2,00786	1,06417	0,23657	0,02592	-0,01506	0,58077	0,05556	0,02775	0,58530
0,18047	2,08013	1,22438	0,36577	0,12705	-0,02272	0,55726	0,16528	-0,00596	0,50292
0,04310	2,15776	1,36786	0,45564	-0,05967	-0,02043	0,58140	-0,04229	0,01606	0,53541
0,13167	2,18828	1,39810	0,50237	0,09747	-0,00613	0,63880	0,14104	0,03919	0,65453
0,19849	2,24000	1,53453	0,49692	0,11251	-0,05285	0,52793	0,16437	-0,04552	0,43975
0,03641	2,20927	1,46964	0,44528	-0,05790	-0,02974	0,49797	-0,04525	0,00779	0,49944
0,17424	2,13695	1,25542	0,34623	0,11264	-0,05349	0,35777	0,14684	-0,02665	0,31598
0,14599	1,97018	0,97953	0,20845	-0,00430	-0,04021	0,14083	0,03481	-0,02349	0,10584
0,02758	1,78107	0,54411	0,04626	-0,08470	0,00460	-0,06056	-0,10610	0,03578	-0,06910
0,20930	1,58724	0,13102	-0,12701	0,08129	0,00779	-0,25360	0,10094	0,02458	-0,26712
0,14492	1,37766	-0,21138	-0,29564	-0,08609	0,00996	-0,45562	-0,06859	0,02446	-0,47546
0,04474	1,22992	-0,61880	-0,44279	-0,09216	0,01928	-0,55018	-0,13472	0,04965	-0,55333
0,19302	1,12224	-0,82120	-0,55791	0,04867	0,00945	-0,60467	0,05608	0,01947	-0,61070
0,08188	1,09367	-0,88018	-0,63484	-0,11074	-0,00945	-0,61010	-0,10365	0,00329	-0,64808
0,05865	1,08930	-0,89729	-0,66769	-0,05575	0,01008	-0,52565	-0,08599	0,03115	-0,53450
0,16039	1,13953	-0,79516	-0,65908	0,02440	-0,01021	-0,45347	0,03068	0,00183	-0,49570
0,05122	1,20023	-0,62182	-0,61201	-0,09481	0,01213	-0,32338	-0,08547	0,03018	-0,34486
0,10250	1,32276	-0,41711	-0,53255	0,00657	-0,00013	-0,18647	-0,00683	0,02154	-0,22329
0,13768	1,43539	-0,14393	-0,42985	0,00746	-0,00447	-0,03982	0,02462	0,01728	-0,07310
0,06130	1,58078	0,16393	-0,31422	-0,05436	-0,00077	0,09102	-0,03636	0,02008	0,03326
0,15008	1,70271	0,39367	-0,19393	0,08710	-0,00817	0,25335	0,10791	0,01972	0,24804
0,09727	1,83672	0,69620	-0,08388	-0,01542	-0,04072	0,31731	0,00219	-0,01801	0,23876
0,08281	1,93484	0,90505	0,01058	0,01150	-0,01468	0,42262	0,03958	0,01375	0,39617
0,18451	2,00612	1,02427	0,07880	0,10859	-0,03243	0,45524	0,14736	-0,01229	0,42802
0,06729	2,05716	1,15370	0,11393	-0,04564	-0,03038	0,41225	-0,03133	-0,00657	0,32772
0,10661	2,01443	1,04289	0,11917	0,05487	0,00102	0,43349	0,07748	0,04028	0,45303
0,16357	1,97633	0,97982	0,08841	0,05626	-0,03294	0,25246	0,09579	-0,02860	0,16837
0,04039	1,88352	0,77396	0,03292	-0,05853	0,00051	0,18053	-0,05505	0,03079	0,17159
0,15036	1,76237	0,49081	-0,04234	0,05474	-0,01098	0,05208	0,07258	0,01667	0,03378
0,16057	1,63737	0,30628	-0,12948	-0,02136	-0,03217	-0,12667	0,01044	-0,02154	-0,17159
0,05487	1,52068	0,01826	-0,21539	-0,06612	0,01800	-0,17143	-0,08148	0,05257	-0,15883
0,14740	1,48253	-0,10464	-0,29630	0,03654	-0,01123	-0,22503	0,04706	0,00901	-0,25952
0,14313	1,45492	-0,05299	-0,36604	-0,04045	-0,00013	-0,21618	-0,00774	0,01655	-0,22948
0,09503	1,49411	-0,03802	-0,42380	-0,04020	-0,00345	-0,17155	-0,05531	0,02300	-0,20975
0,16982	1,51987	0,03932	-0,47063	0,04083	-0,01583	-0,10265	0,06382	0,00219	-0,10752
0,09849	1,58979	0,19901	-0,51233	-0,06106	-0,02055	-0,07497	-0,03932	-0,00402	-0,14349
0,09328	1,62232	0,24065	-0,54816	-0,00468	0,00983	0,00910	-0,00632	0,03785	0,00657
0,12206	1,63633	0,24417	-0,58487	0,03198	-0,02451	-0,00240	0,05453	-0,00888	-0,04989
0,03849	1,64055	0,29526	-0,62295	-0,06928	0,00281	-0,00468	-0,04925	0,02276	-0,04706
0,11841	1,63367	0,22266	-0,66063	0,03919	-0,00153	0,01985	0,04048	0,02823	0,01508
0,13961	1,60909	0,23526	-0,70114	-0,00721	-0,03013	-0,06068	0,01663	-0,01679	-0,12054
0,04964	1,57609	0,16135	-0,73850	-0,07168	0,00115	-0,05562	-0,06510	0,02763	-0,06846
0,15758	1,55685	0,07198	-0,77214	0,05550	-0,00064	-0,06624	0,06755	0,02203	-0,08431
0,11966	1,53534	0,08938	-0,80191	-0,03982	-0,02094	-0,11188	-0,02488	-0,00389	-0,16012
0,06448	1,52729	0,04784	-0,82343	-0,04842	0,01047	-0,07610	-0,04538	0,03700	-0,08883
0,16997	1,52628	0,00648	-0,83778	0,06586	-0,01787	-0,10253	0,08315	-0,00706	-0,14284
0,07419	1,50307	-0,00651	-0,84337	-0,07484	-0,01647	-0,11466	-0,06008	0,00316	-0,14658
0,05003	1,48872	-0,09495	-0,83824	-0,02238	-0,00064	-0,11011	-0,03275	0,02373	-0,14452
0,15646	1,46232	-0,10214	-0,82149	0,04374	-0,00626	-0,12237	0,06936	0,00377	-0,14271
0,06385	1,46875	-0,06630	-0,79359	-0,08154	-0,00677	-0,11403	-0,07374	0,01400	-0,15741
0,09932	1,50370	-0,05445	-0,75296	0,01631	0,00587	-0,03514	0,02089	0,03481	-0,04860
0,14635	1,54768	0,09125	-0,70490	0,02667	-0,01532	-0,00695	0,05582	-0,00377	-0,04680
0,06013	1,63107	0,26932	-0,65240	-0,05866	0,00791	0,06852	-0,05092	0,03176	0,01792
0,13474	1,68284	0,33885	-0,59884	0,05879	-0,00651	0,16776	0,07271	0,02458	0,15767
0,14172	1,74023	0,54417	-0,55297	-0,01226	-0,03562	0,15082	0,02321	-0,02118	0,07697
0,10404	1,78188	0,59891	-0,51437	-0,01138	-0,01021	0,21024	-0,00284	0,01850	0,18436
0,18349	1,79643	0,59789	-0,48889	0,07964	-0,02425	0,21757	0,10804	-0,00207	0,19570
0,08813	1,79753	0,66052	-0,47884	-0,05158	-0,04187	0,14311	-0,02901	-0,02677	0,05801
0,08586	1,74102	0,47049	-0,47780	0,01745	0,01340	0,14778	0,02759	0,04771	0,15935
0,15719	1,69302	0,36380	-0,48923	0,04892	-0,02425	0,03919	0,07142	-0,01205	-0,01044
0,04365	1,64164	0,29099	-0,50599	-0,08799	-0,00409	-0,02693	-0,07722	0,01752	-0,07452
0,14500	1,55924	0,12125	-0,52126	0,05120	0,01762	-0,05348	0,05067	0,04369	-0,05234
0,16253	1,50414	0,00461	-0,53399	0,00417	-0,02860	-0,17168	0,02901	-0,01777	-0,22780
0,04180	1,43065	-0,13440	-0,53521	-0,09090	-0,00485	-0,18748	-0,08792	0,02020	-0,19751
0,15461	1,40773	-0,24409	-0,52194	0,04994	-0,00460	-0,20670	0,04899	0,01752	-0,23863
0,14258	1,37982	-0,21677	-0,49164	-0,03906	-0,01711	-0,20581	-0,01882	0,00316	-0,22961
0,05362	1,41927	-0,15875	-0,44419	-0,05828	0,00740	-0,15373	-0,06949	0,03018	-0,19364
0,17456	1,48534	-0,08266	-0,38056	0,08420	-0,00587	-0,04690	0,10210	0,01716	-0,06072
0,11505	1,55589	0,15594	-0,30850	-0,04918	-0,02911	0,00506	-0,02179	-0,00961	-0,04358
0,10026	1,64281	0,32375	-0,23139	-0,00683	-0,00498	0,07977	-0,01212	0,01825	0,02411
0,20109	1,65682	0,35096	-0,15267	0,08192	-0,02068	0,12452	0,10404	0,00085	0,12183
0,09997	1,67891	0,43271	-0,07973	-0,07750	-0,02540	0,06409	-0,05492	-0,00828	-0,02024
0,11198	1,65557	0,29336	-0,00672	0,03755	0,01123	0,11846	0,03455	0,05014	0,12853
0,16794	1,64164	0,27930	0,06060	0,04867	-0,01098	0,05777	0,07413	0,00608	0,01160
0,03797	1,68747	0,36232	0,12405	-0,07712	-0,00243	0,10923	-0,06936	0,03176	0,07039
0,16346	1,75268	0,47758	0,18145	0,09734	0,01187	0,23729	0,11332	0,05148	0,24791
0,16063	1,88070	0,79068	0,22182	0,01934	-0,05949	0,24171	0,04731	-0,04661	0,14787
0,07997	1,95010	0,95607	0,24493	-0,02238	-0,01353	0,35587	0,00090	0,01850	0,35105
0,20635	2,01151	1,00164	0,23993	0,12730	-0,05272	0,35954	0,14877	-0,02884	0,31109
0,10818	1,98555	1,04154	0,20494	-0,04994	-0,04519	0,28900	-0,01495	-0,02349	0,23631
0,07745	1,92948	0,87784	0,14298	0,00809	-0,00549	0,22743	0,00374	0,02507	0,20692
0,20253	1,84820	0,68773	0,05580	0,09481	0,00115	0,11378	0,12467	0,01631	0,08818
0,04289	1,73852	0,49948	-0,04895	-0,11378	-0,00830	-0,03224	-0,10675	0,01570	-0,07619
0,10932	1,62138	0,21911	-0,16052	0,02630	0,02834	-0,10291	0,01354	0,05939	-0,10275
0,20057	1,52732	0,03693	-0,27343	0,04918	-0,02515	-0,22212	0,07026	-0,01619	-0,24662
0,02695	1,54492	-0,04193	-0,38126	-0,13287	-0,01468	-0,01125	-0,11448	0,07862	0,05092
0,07206	1,91180	0,91396	-0,50521	0,02010	0,01085	0,44930	0,01457	0,04844	0,50382
0,13586	2,68758	2,44693	-0,67596	0,08761	-0,04200	0,95725	0,13911	-0,03894	0,75135
0,21641	3,13055	3,49042	-0,92234	0,20328	-0,02515	1,59984	0,30154	0,02458	1,70807
0,18690	3,63031	4,41745	-1,30780	0,13502	-0,20030	1,70199	0,20756	-0,18024	1,52294
0,09924	3,80081	4,97979	-1,85033	0,10758	-0,13544	1,75066	0,18320	-0,14117	1,71683
0,18133	3,52690	4,23938	-2,55603	0,12124	-0,10251	0,95004	0,16566	-0,13849	0,68779
-0,03008	2,43055	1,93151	-3,37307	-0,20872	0,05885	0,01947	-0,22097	0,11647	0,18822
-0,07281	1,33531	-0,44508	-4,25398	-0,20960	0,12906	-1,29985	-0,30026	0,14592	-1,37558
0,19646	0,27820	-2,66581	-5,09992	-0,01896	0,20106	-2,18592	-0,04693	0,19167	-2,12074
0,04706	-0,82760	-4,86164	-5,82198	-0,31744	0,09383	-3,22320	-0,40855	0,06365	-3,23629
-0,08711	-1,91318	-7,16036	-6,32564	-0,40214	-0,04021	-4,23910	-0,58414	-0,09225	-4,36370
0,07846	-3,08695	-9,68221	-6,51107	-0,30265	0,01940	-4,74175	-0,40829	0,02191	-4,53787
-0,02109	-3,73026	-11,00654	-6,32558	-0,49013	0,00638	-5,15754	-0,65698	-0,01229	-5,26408
-0,06297	-3,82526	-11,11331	-5,70875	-0,38128	0,25238	-4,41533	-0,55165	0,27017	-4,21041
0,02141	-3,07505	-9,59391	-4,68386	-0,20328	0,25787	-3,39374	-0,34022	0,23804	-3,51979
0,05435	-1,84745	-6,90714	-3,29913	-0,06991	0,27612	-1,59276	-0,07709	0,30802	-1,54073
0,05430	-0,07224	-3,10643	-1,67410	0,06561	0,01787	0,41478	0,05634	0,06547	0,31044
0,10531	2,22552	1,68813	0,04937	0,25600	-0,22710	2,76644	0,36033	-0,17269	2,61747
0,25594	4,59977	6,74182	1,69215	0,50618	-0,33702	5,06462	0,75264	-0,28417	4,94204
0,27203	6,91935	11,55372	3,06098	0,57230	-0,35451	6,80960	0,83528	-0,31094	6,53253
0,16034	8,53628	14,96859	4,00030	0,55094	-0,23540	7,91387	0,81426	-0,15699	7,75276
0,22617	9,32453	16,54643	4,38599	0,63981	-0,13813	7,72323	0,91766	-0,10040	7,40210
0,23760	8,91305	15,64232	4,18257	0,52553	0,00868	6,72439	0,75534	0,08166	6,72385
0,09240	7,62362	12,83594	3,40989	0,27926	-0,07711	4,53505	0,39411	-0,04454	4,35635
0,21911	5,58589	8,42938	2,18926	0,29658	-0,07047	2,19540	0,41667	-0,02105	2,33011
0,19813	3,27195	3,52943	0,65985	0,03704	-0,19034	-0,37117	0,09682	-0,14652	-0,27950
0,07174	1,10578	-0,98529	-0,99499	-0,20391	-0,13532	-2,61082	-0,29845	-0,10892	-2,51176
0,10612	-0,79669	-4,98779	-2,60079	-0,26498	0,00600	-4,11964	-0,38547	0,03675	-3,88708
0,12490	-2,16789	-7,73875	-4,02336	-0,36384	0,11004	-5,37056	-0,51504	0,05915	-5,36967
-0,01458	-3,16854	-9,82018	-5,13057	-0,50985	0,24715	-5,69748	-0,72170	0,24303	-5,50490
-0,09083	-3,66557	-10,78422	-5,85761	-0,54436	0,25034	-5,89583	-0,78345	0,19107	-5,95226
-0,06979	-3,84013	-11,13831	-6,15003	-0,48444	0,29617	-5,48939	-0,66884	0,25325	-5,43980
-0,02211	-3,72818	-10,89911	-6,00192	-0,39102	0,24166	-4,90091	-0,55462	0,20494	-4,92154
-0,06693	-3,26956	-9,90917	-5,42691	-0,37016	0,12383	-4,03430	-0,52458	0,09456	-4,10457
-0,03708	-2,48021	-8,27260	-4,46191	-0,26270	0,08132	-2,67087	-0,32707	0,11148	-2,63101
0,13159	-1,18646	-5,45661	-3,19557	-0,00556	-0,01851	-1,18367	-0,01689	-0,01728	-1,32749
0,16005	0,46128	-2,02438	-1,72659	0,13249	-0,11272	0,80201	0,18655	-0,06170	0,78345
0,09182	2,44398	2,17529	-0,19953	0,17319	-0,22544	2,71878	0,28775	-0,17902	2,52246
0,17703	4,50617	6,51344	1,23639	0,39519	-0,13289	4,64327	0,57034	-0,07630	4,49339
0,23977	6,30721	10,32122	2,41752	0,49329	-0,11502	6,08104	0,72015	-0,05294	5,92119
0,12971	7,61703	13,02073	3,21010	0,43766	-0,14987	6,67648	0,66175	-0,10490	6,38698
0,18688	8,03542	13,82675	3,53561	0,52907	-0,09970	6,60062	0,77056	-0,02787	6,53923
0,19487	7,68461	13,04651	3,35268	0,38343	-0,20017	5,40356	0,59613	-0,16137	5,18686
0,20482	6,46299	10,43365	2,71035	0,31415	-0,14259	3,75605	0,46888	-0,09249	3,77440
0,24013	4,73182	6,74609	1,69608	0,18862	-0,15536	1,60781	0,27537	-0,11525	1,63110
0,12984	2,83971	2,73023	0,43831	-0,06561	-0,10800	-0,47395	-0,05453	-0,07399	-0,40674
0,09471	0,98094	-1,13695	-0,90609	-0,16890	0,05311	-2,24572	-0,24456	0,09152	-2,10759
0,14315	-0,56401	-4,41411	-2,20089	-0,21251	0,10787	-3,71016	-0,32681	0,09772	-3,64793
0,07417	-1,82953	-7,03341	-3,31527	-0,37837	0,15536	-4,55161	-0,50318	0,15614	-4,38639
-0,01878	-2,62909	-8,63021	-4,15853	-0,47584	0,10634	-5,08510	-0,65517	0,06742	-5,09622
0,04862	-3,09484	-9,54625	-4,65391	-0,40012	0,17719	-5,03959	-0,56712	0,14616	-4,98084
0,04375	-3,23424	-9,77734	-4,76969	-0,39898	0,16621	-4,73973	-0,54946	0,13229	-4,72635
0,00766	-2,97401	-9,24359	-4,49973	-0,37319	0,15281	-4,08272	-0,51310	0,11939	-4,12288
0,00203	-2,39810	-8,06112	-3,86519	-0,28937	0,14183	-3,02459	-0,39540	0,15273	-3,01042
0,08792	-1,42398	-5,93667	-2,92700	-0,10278	0,12408	-1,77620	-0,13382	0,11160	-1,85207
0,12326	-0,10786	-3,24971	-1,76329	0,03312	-0,00396	-0,20543	0,04757	0,01740	-0,28002
0,12893	1,39758	-0,02680	-0,48393	0,11100	-0,14400	1,40730	0,19067	-0,10880	1,31602
0,09995	3,07630	3,48099	0,79160	0,18331	-0,17310	2,97971	0,29226	-0,13058	2,81227
0,20880	4,64177	6,73510	1,93069	0,39658	-0,11949	4,38613	0,57911	-0,05695	4,28132
0,18513	5,94599	9,46904	2,81017	0,38507	-0,15293	5,23984	0,57215	-0,10916	5,04840
0,13536	6,74695	11,11271	3,34132	0,37306	-0,12013	5,53503	0,56248	-0,06401	5,36760
0,23997	6,86339	11,32927	3,46889	0,45081	-0,12485	5,18131	0,65917	-0,06961	5,11672
0,18583	6,38820	10,28201	3,18089	0,29911	-0,16072	4,04985	0,46205	-0,13630	3,88192
0,17289	5,26302	7,88878	2,53245	0,23350	-0,10749	2,63787	0,33726	-0,06073	2,70617
0,18888	3,86310	4,84768	1,59965	0,09798	-0,13608	0,88557	0,16553	-0,10636	0,86996
0,10055	2,29771	1,60190	0,49554	-0,09494	-0,00957	-0,78545	-0,10094	0,01898	-0,71783
0,09042	0,77872	-1,63411	-0,65191	-0,13868	0,10736	-2,18946	-0,22316	0,13910	-2,06775
0,11641	-0,46391	-4,24776	-1,73221	-0,22351	0,11119	-3,35505	-0,32488	0,10649	-3,32215
0,02674	-1,47122	-6,23924	-2,63994	-0,38672	0,13162	-3,94556	-0,49866	0,13752	-3,77995
0,02844	-2,02102	-7,39844	-3,30743	-0,34904	0,08004	-4,34340	-0,51413	0,03833	-4,41604
0,09138	-2,36990	-8,07344	-3,67110	-0,30315	0,13813	-4,14619	-0,41345	0,12949	-4,02644
0,04177	-2,34854	-7,94854	-3,72247	-0,35853	0,09472	-3,83216	-0,48165	0,06462	-3,87187
0,00083	-1,99375	-7,23190	-3,45774	-0,30669	0,09013	-3,15822	-0,42492	0,07606	-3,22830
0,09469	-1,44956	-6,07078	-2,90307	-0,12680	0,14949	-2,10919	-0,16966	0,16600	-2,01941
0,10250	-0,46237	-4,03271	-2,12681	-0,08078	0,03651	-1,12653	-0,10443	0,02507	-1,33175
0,08904	0,58635	-1,78677	-1,18875	0,01024	-0,01966	0,31087	0,03648	0,03091	0,36961
0,10146	1,91240	0,98583	-0,19432	0,09342	-0,12038	1,49276	0,14787	-0,10283	1,29578
0,14768	3,22365	3,75719	0,76989	0,22465	-0,09013	2,77757	0,34847	-0,04710	2,68490
0,19346	4,35096	6,13039	1,58962	0,31175	-0,12715	3,72458	0,45947	-0,08227	3,65631
0,12609	5,31169	8,02357	2,17454	0,25651	-0,15447	4,13885	0,38960	-0,11853	3,86426
0,22292	5,61010	8,72458	2,47949	0,37281	-0,04494	4,31938	0,55668	0,02592	4,38407
0,22255	5,61471	8,65990	2,45654	0,28192	-0,14655	3,59980	0,41976	-0,13801	3,33865
0,12255	4,99745	7,30674	2,13871	0,17446	-0,06281	2,84204	0,26944	0,00219	2,91089
0,20188	4,05927	5,29943	1,55587	0,18293	-0,09345	1,54725	0,26364	-0,06048	1,50115
0,14177	2,94466	2,97427	0,78201	-0,00455	-0,07162	0,20303	0,03262	-0,05829	0,19686
0,09643	1,70284	0,33336	-0,08488	-0,08407	0,04366	-0,94246	-0,12479	0,08884	-0,80666
0,14667	0,65154	-1,90677	-0,95702	-0,11492	0,01711	-2,13877	-0,18629	0,00207	-2,21266
0,09341	-0,37357	-3,94159	-1,73605	-0,24905	0,12945	-2,73661	-0,30696	0,15151	-2,52323
0,02563	-0,97039	-5,23784	-2,36734	-0,30227	0,06408	-3,31131	-0,43988	0,04272	-3,40053
0,12898	-1,37734	-6,05458	-2,78018	-0,19962	0,12396	-3,27895	-0,28685	0,12596	-3,17518
